Chr	Start	End	density
chr1A_TA2804	0	10000000	2404
chr1A_TA2804	10000001	20000000	1279
chr1A_TA2804	20000001	30000000	1629
chr1A_TA2804	30000001	40000000	2212
chr1A_TA2804	40000001	50000000	2516
chr1A_TA2804	50000001	60000000	2510
chr1A_TA2804	60000001	70000000	2527
chr1A_TA2804	70000001	80000000	3111
chr1A_TA2804	80000001	90000000	2851
chr1A_TA2804	90000001	100000000	3093
chr1A_TA2804	100000001	110000000	3099
chr1A_TA2804	110000001	120000000	3507
chr1A_TA2804	120000001	130000000	3362
chr1A_TA2804	130000001	140000000	3040
chr1A_TA2804	140000001	150000000	3572
chr1A_TA2804	150000001	160000000	3822
chr1A_TA2804	160000001	170000000	3726
chr1A_TA2804	170000001	180000000	3217
chr1A_TA2804	180000001	190000000	3286
chr1A_TA2804	190000001	200000000	4483
chr1A_TA2804	200000001	210000000	4820
chr1A_TA2804	210000001	220000000	3687
chr1A_TA2804	220000001	230000000	5972
chr1A_TA2804	230000001	240000000	5367
chr1A_TA2804	240000001	250000000	4001
chr1A_TA2804	250000001	260000000	3174
chr1A_TA2804	260000001	270000000	3022
chr1A_TA2804	270000001	280000000	3309
chr1A_TA2804	280000001	290000000	3319
chr1A_TA2804	290000001	300000000	3528
chr1A_TA2804	300000001	310000000	2800
chr1A_TA2804	310000001	320000000	3164
chr1A_TA2804	320000001	330000000	3407
chr1A_TA2804	330000001	340000000	3255
chr1A_TA2804	340000001	350000000	3391
chr1A_TA2804	350000001	360000000	3401
chr1A_TA2804	360000001	370000000	3222
chr1A_TA2804	370000001	380000000	3078
chr1A_TA2804	380000001	390000000	3089
chr1A_TA2804	390000001	400000000	2985
chr1A_TA2804	400000001	410000000	3041
chr1A_TA2804	410000001	420000000	3161
chr1A_TA2804	420000001	430000000	3039
chr1A_TA2804	430000001	440000000	2619
chr1A_TA2804	440000001	450000000	3209
chr1A_TA2804	450000001	460000000	3057
chr1A_TA2804	460000001	470000000	3181
chr1A_TA2804	470000001	480000000	3039
chr1A_TA2804	480000001	490000000	3277
chr1A_TA2804	490000001	500000000	2993
chr1A_TA2804	500000001	510000000	2696
chr1A_TA2804	510000001	520000000	2641
chr1A_TA2804	520000001	530000000	2359
chr1A_TA2804	530000001	540000000	2923
chr1A_TA2804	540000001	550000000	2462
chr1A_TA2804	550000001	560000000	2514
chr1A_TA2804	560000001	570000000	1874
chr1A_TA2804	570000001	580000000	2238
chr1A_TA2804	580000001	590000000	2249
chr1A_TA2804	590000001	600000000	1842
chr1A_TA2804	600000001	610000000	1722
chr1A_TA2804	610000001	613121534	875
chr2A_TA2804	1	10000000	1185
chr2A_TA2804	10000001	20000000	1336
chr2A_TA2804	20000001	30000000	1430
chr2A_TA2804	30000001	40000000	1202
chr2A_TA2804	40000001	50000000	1286
chr2A_TA2804	50000001	60000000	1704
chr2A_TA2804	60000001	70000000	1859
chr2A_TA2804	70000001	80000000	1923
chr2A_TA2804	80000001	90000000	1904
chr2A_TA2804	90000001	100000000	2013
chr2A_TA2804	100000001	110000000	2164
chr2A_TA2804	110000001	120000000	2437
chr2A_TA2804	120000001	130000000	2354
