Chr	Start	End	density
chr1A_TA877	0	10000000	170
chr1A_TA877	10000000	20000000	264
chr1A_TA877	20000000	30000000	138
chr1A_TA877	30000000	40000000	115
chr1A_TA877	40000000	50000000	106
chr1A_TA877	50000000	60000000	105
chr1A_TA877	60000000	70000000	119
chr1A_TA877	70000000	80000000	76
chr1A_TA877	80000000	90000000	92
chr1A_TA877	90000000	100000000	68
chr1A_TA877	100000000	110000000	59
chr1A_TA877	110000000	120000000	70
chr1A_TA877	120000000	130000000	48
chr1A_TA877	130000000	140000000	58
chr1A_TA877	140000000	150000000	21
chr1A_TA877	150000000	160000000	20
chr1A_TA877	160000000	170000000	25
chr1A_TA877	170000000	180000000	50
chr1A_TA877	180000000	190000000	47
chr1A_TA877	190000000	200000000	21
chr1A_TA877	200000000	210000000	25
chr1A_TA877	210000000	220000000	28
chr1A_TA877	220000000	230000000	11
chr1A_TA877	230000000	240000000	29
chr1A_TA877	240000000	250000000	52
chr1A_TA877	250000000	260000000	71
chr1A_TA877	260000000	270000000	64
chr1A_TA877	270000000	280000000	39
chr1A_TA877	280000000	290000000	50
chr1A_TA877	290000000	300000000	77
chr1A_TA877	300000000	310000000	82
chr1A_TA877	310000000	320000000	47
chr1A_TA877	320000000	330000000	61
chr1A_TA877	330000000	340000000	62
chr1A_TA877	340000000	350000000	62
chr1A_TA877	350000000	360000000	80
chr1A_TA877	360000000	370000000	99
chr1A_TA877	370000000	380000000	68
chr1A_TA877	380000000	390000000	73
chr1A_TA877	390000000	400000000	74
chr1A_TA877	400000000	410000000	75
chr1A_TA877	410000000	420000000	51
chr1A_TA877	420000000	430000000	69
chr1A_TA877	430000000	440000000	71
chr1A_TA877	440000000	450000000	103
chr1A_TA877	450000000	460000000	78
chr1A_TA877	460000000	470000000	116
chr1A_TA877	470000000	480000000	91
chr1A_TA877	480000000	490000000	113
chr1A_TA877	490000000	500000000	122
chr1A_TA877	500000000	510000000	135
chr1A_TA877	510000000	520000000	149
chr1A_TA877	520000000	530000000	132
chr1A_TA877	530000000	540000000	192
chr1A_TA877	540000000	550000000	173
chr1A_TA877	550000000	560000000	209
chr1A_TA877	560000000	570000000	165
chr1A_TA877	570000000	580000000	161
chr1A_TA877	580000000	590000000	186
chr1A_TA877	590000000	600000000	138
chr1A_TA877	600000000	602656826	35
chr2A_TA877	0	10000000	230
chr2A_TA877	10000000	20000000	221
chr2A_TA877	20000000	30000000	211
chr2A_TA877	30000000	40000000	130
chr2A_TA877	40000000	50000000	195
chr2A_TA877	50000000	60000000	163
chr2A_TA877	60000000	70000000	112
chr2A_TA877	70000000	80000000	162
chr2A_TA877	80000000	90000000	134
chr2A_TA877	90000000	100000000	136
chr2A_TA877	100000000	110000000	89
chr2A_TA877	110000000	120000000	99
chr2A_TA877	120000000	130000000	85
chr2A_TA877	130000000	140000000	48
chr2A_TA877	140000000	150000000	87
chr2A_TA877	150000000	160000000	67
chr2A_TA877	160000000	170000000	67
chr2A_TA877	170000000	180000000	75
chr2A_TA877	180000000	190000000	53
chr2A_TA877	190000000	200000000	46
chr2A_TA877	200000000	210000000	82
chr2A_TA877	210000000	220000000	104
chr2A_TA877	220000000	230000000	43
chr2A_TA877	230000000	240000000	41
chr2A_TA877	240000000	250000000	28
chr2A_TA877	250000000	260000000	27
chr2A_TA877	260000000	270000000	32
chr2A_TA877	270000000	280000000	26
chr2A_TA877	280000000	290000000	28
chr2A_TA877	290000000	300000000	26
chr2A_TA877	300000000	310000000	25
chr2A_TA877	310000000	320000000	18
chr2A_TA877	320000000	330000000	29
chr2A_TA877	330000000	340000000	42
chr2A_TA877	340000000	350000000	16
chr2A_TA877	350000000	360000000	17
chr2A_TA877	360000000	370000000	34
chr2A_TA877	370000000	380000000	39
chr2A_TA877	380000000	390000000	42
chr2A_TA877	390000000	400000000	54
chr2A_TA877	400000000	410000000	61
chr2A_TA877	410000000	420000000	53
chr2A_TA877	420000000	430000000	39
chr2A_TA877	430000000	440000000	44
chr2A_TA877	440000000	450000000	42
chr2A_TA877	450000000	460000000	54
chr2A_TA877	460000000	470000000	54
chr2A_TA877	470000000	480000000	61
chr2A_TA877	480000000	490000000	32
chr2A_TA877	490000000	500000000	45
chr2A_TA877	500000000	510000000	70
chr2A_TA877	510000000	520000000	71
chr2A_TA877	520000000	530000000	60
chr2A_TA877	530000000	540000000	76
chr2A_TA877	540000000	550000000	81
chr2A_TA877	550000000	560000000	92
chr2A_TA877	560000000	570000000	91
chr2A_TA877	570000000	580000000	98
chr2A_TA877	580000000	590000000	87
chr2A_TA877	590000000	600000000	68
chr2A_TA877	600000000	610000000	132
chr2A_TA877	610000000	620000000	102
chr2A_TA877	620000000	630000000	89
chr2A_TA877	630000000	640000000	69
chr2A_TA877	640000000	650000000	88
chr2A_TA877	650000000	660000000	82
chr2A_TA877	660000000	670000000	134
chr2A_TA877	670000000	680000000	152
chr2A_TA877	680000000	690000000	149
chr2A_TA877	690000000	700000000	120
chr2A_TA877	700000000	710000000	174
chr2A_TA877	710000000	720000000	217
chr2A_TA877	720000000	730000000	161
chr2A_TA877	730000000	740000000	156
chr2A_TA877	740000000	750000000	210
chr2A_TA877	750000000	760000000	196
chr2A_TA877	760000000	770000000	207
chr2A_TA877	770000000	771401179	36
chr3A_TA877	0	10000000	285
chr3A_TA877	10000000	20000000	242
chr3A_TA877	20000000	30000000	137
chr3A_TA877	30000000	40000000	180
chr3A_TA877	40000000	50000000	198
chr3A_TA877	50000000	60000000	170
chr3A_TA877	60000000	70000000	74
chr3A_TA877	70000000	80000000	85
chr3A_TA877	80000000	90000000	57
chr3A_TA877	90000000	100000000	83
chr3A_TA877	100000000	110000000	91
chr3A_TA877	110000000	120000000	93
chr3A_TA877	120000000	130000000	74
chr3A_TA877	130000000	140000000	57
chr3A_TA877	140000000	150000000	61
chr3A_TA877	150000000	160000000	50
chr3A_TA877	160000000	170000000	56
chr3A_TA877	170000000	180000000	72
chr3A_TA877	180000000	190000000	29
chr3A_TA877	190000000	200000000	56
chr3A_TA877	200000000	210000000	68
chr3A_TA877	210000000	220000000	48
chr3A_TA877	220000000	230000000	34
chr3A_TA877	230000000	240000000	30
chr3A_TA877	240000000	250000000	21
chr3A_TA877	250000000	260000000	16
chr3A_TA877	260000000	270000000	24
chr3A_TA877	270000000	280000000	39
chr3A_TA877	280000000	290000000	16
chr3A_TA877	290000000	300000000	25
chr3A_TA877	300000000	310000000	27
chr3A_TA877	310000000	320000000	8
chr3A_TA877	320000000	330000000	32
chr3A_TA877	330000000	340000000	27
chr3A_TA877	340000000	350000000	27
chr3A_TA877	350000000	360000000	30
chr3A_TA877	360000000	370000000	49
chr3A_TA877	370000000	380000000	42
chr3A_TA877	380000000	390000000	45
chr3A_TA877	390000000	400000000	54
chr3A_TA877	400000000	410000000	36
chr3A_TA877	410000000	420000000	35
chr3A_TA877	420000000	430000000	62
chr3A_TA877	430000000	440000000	62
chr3A_TA877	440000000	450000000	48
chr3A_TA877	450000000	460000000	59
chr3A_TA877	460000000	470000000	77
chr3A_TA877	470000000	480000000	93
chr3A_TA877	480000000	490000000	69
chr3A_TA877	490000000	500000000	65
chr3A_TA877	500000000	510000000	106
chr3A_TA877	510000000	520000000	78
chr3A_TA877	520000000	530000000	62
chr3A_TA877	530000000	540000000	97
chr3A_TA877	540000000	550000000	67
chr3A_TA877	550000000	560000000	99
chr3A_TA877	560000000	570000000	86
chr3A_TA877	570000000	580000000	81
chr3A_TA877	580000000	590000000	114
chr3A_TA877	590000000	600000000	103
chr3A_TA877	600000000	610000000	83
chr3A_TA877	610000000	620000000	119
