Chr	Start	End	Density
chr1A_TA877	0	10000000	1179
chr1A_TA877	10000001	20000000	1353
chr1A_TA877	20000001	30000000	1585
chr1A_TA877	30000001	40000000	1289
chr1A_TA877	40000001	50000000	1156
chr1A_TA877	50000001	60000000	1032
chr1A_TA877	60000001	70000000	1416
chr1A_TA877	70000001	80000000	1055
chr1A_TA877	80000001	90000000	1212
chr1A_TA877	90000001	100000000	1320
chr1A_TA877	100000001	110000000	1267
chr1A_TA877	110000001	120000000	1314
chr1A_TA877	120000001	130000000	1227
chr1A_TA877	130000001	140000000	1136
chr1A_TA877	140000001	150000000	974
chr1A_TA877	150000001	160000000	894
chr1A_TA877	160000001	170000000	909
chr1A_TA877	170000001	180000000	2082
chr1A_TA877	180000001	190000000	1151
chr1A_TA877	190000001	200000000	698
chr1A_TA877	200000001	210000000	928
chr1A_TA877	210000001	220000000	879
chr1A_TA877	220000001	230000000	426
chr1A_TA877	230000001	240000000	870
chr1A_TA877	240000001	250000000	1415
chr1A_TA877	250000001	260000000	1313
chr1A_TA877	260000001	270000000	1432
chr1A_TA877	270000001	280000000	1214
chr1A_TA877	280000001	290000000	1277
chr1A_TA877	290000001	300000000	1399
chr1A_TA877	300000001	310000000	1450
chr1A_TA877	310000001	320000000	1124
chr1A_TA877	320000001	330000000	1369
chr1A_TA877	330000001	340000000	1318
chr1A_TA877	340000001	350000000	1340
chr1A_TA877	350000001	360000000	1228
chr1A_TA877	360000001	370000000	1147
chr1A_TA877	370000001	380000000	1455
chr1A_TA877	380000001	390000000	1246
chr1A_TA877	390000001	400000000	1187
chr1A_TA877	400000001	410000000	1383
chr1A_TA877	410000001	420000000	1661
chr1A_TA877	420000001	430000000	911
chr1A_TA877	430000001	440000000	1144
chr1A_TA877	440000001	450000000	1182
chr1A_TA877	450000001	460000000	1346
chr1A_TA877	460000001	470000000	1257
chr1A_TA877	470000001	480000000	1171
chr1A_TA877	480000001	490000000	1392
chr1A_TA877	490000001	500000000	1329
chr1A_TA877	500000001	510000000	1366
chr1A_TA877	510000001	520000000	1231
chr1A_TA877	520000001	530000000	1230
chr1A_TA877	530000001	540000000	1269
chr1A_TA877	540000001	550000000	1265
chr1A_TA877	550000001	560000000	1145
chr1A_TA877	560000001	570000000	1271
chr1A_TA877	570000001	580000000	1279
chr1A_TA877	580000001	590000000	2205
chr1A_TA877	590000001	600000000	2035
chr1A_TA877	600000001	602656826	361
chr2A_TA877	1	10000000	1482
chr2A_TA877	10000001	20000000	1326
chr2A_TA877	20000001	30000000	1384
chr2A_TA877	30000001	40000000	3531
chr2A_TA877	40000001	50000000	1217
chr2A_TA877	50000001	60000000	1661
chr2A_TA877	60000001	70000000	1381
chr2A_TA877	70000001	80000000	1576
chr2A_TA877	80000001	90000000	1316
chr2A_TA877	90000001	100000000	1491
chr2A_TA877	100000001	110000000	1307
chr2A_TA877	110000001	120000000	1245
chr2A_TA877	120000001	130000000	1361
chr2A_TA877	130000001	140000000	1137
chr2A_TA877	140000001	150000000	1262
chr2A_TA877	150000001	160000000	1369
chr2A_TA877	160000001	170000000	1271
chr2A_TA877	170000001	180000000	1514
chr2A_TA877	180000001	190000000	1452
chr2A_TA877	190000001	200000000	1294
chr2A_TA877	200000001	210000000	1402
chr2A_TA877	210000001	220000000	1248
chr2A_TA877	220000001	230000000	978
chr2A_TA877	230000001	240000000	1025
chr2A_TA877	240000001	250000000	1042
chr2A_TA877	250000001	260000000	786
chr2A_TA877	260000001	270000000	830
chr2A_TA877	270000001	280000000	997
chr2A_TA877	280000001	290000000	904
chr2A_TA877	290000001	300000000	987
chr2A_TA877	300000001	310000000	895
chr2A_TA877	310000001	320000000	1745
chr2A_TA877	320000001	330000000	760
chr2A_TA877	330000001	340000000	796
chr2A_TA877	340000001	350000000	510
chr2A_TA877	350000001	360000000	629
chr2A_TA877	360000001	370000000	1050
chr2A_TA877	370000001	380000000	1071
chr2A_TA877	380000001	390000000	1102
chr2A_TA877	390000001	400000000	1340
chr2A_TA877	400000001	410000000	1271
chr2A_TA877	410000001	420000000	1271
chr2A_TA877	420000001	430000000	1104
chr2A_TA877	430000001	440000000	1321
chr2A_TA877	440000001	450000000	1206
chr2A_TA877	450000001	460000000	1279
chr2A_TA877	460000001	470000000	1121
chr2A_TA877	470000001	480000000	1151
chr2A_TA877	480000001	490000000	981
chr2A_TA877	490000001	500000000	1021
chr2A_TA877	500000001	510000000	1434
chr2A_TA877	510000001	520000000	1267
chr2A_TA877	520000001	530000000	1360
chr2A_TA877	530000001	540000000	1322
chr2A_TA877	540000001	550000000	1164
chr2A_TA877	550000001	560000000	1419
chr2A_TA877	560000001	570000000	1364
chr2A_TA877	570000001	580000000	1292
chr2A_TA877	580000001	590000000	1234
chr2A_TA877	590000001	600000000	1147
chr2A_TA877	600000001	610000000	1392
chr2A_TA877	610000001	620000000	1491
chr2A_TA877	620000001	630000000	1296
chr2A_TA877	630000001	640000000	1276
chr2A_TA877	640000001	650000000	1254
chr2A_TA877	650000001	660000000	1489
chr2A_TA877	660000001	670000000	1760
chr2A_TA877	670000001	680000000	1504
chr2A_TA877	680000001	690000000	1493
chr2A_TA877	690000001	700000000	1398
chr2A_TA877	700000001	710000000	1612
chr2A_TA877	710000001	720000000	1356
chr2A_TA877	720000001	730000000	1321
chr2A_TA877	730000001	740000000	1380
chr2A_TA877	740000001	750000000	1530
chr2A_TA877	750000001	760000000	1598
chr2A_TA877	760000001	770000000	1721
chr2A_TA877	770000001	771401179	217
chr3A_TA877	1	10000000	894
chr3A_TA877	10000001	20000000	1058
chr3A_TA877	20000001	30000000	1051
chr3A_TA877	30000001	40000000	969
chr3A_TA877	40000001	50000000	1085
chr3A_TA877	50000001	60000000	1256
chr3A_TA877	60000001	70000000	1232
chr3A_TA877	70000001	80000000	1193
chr3A_TA877	80000001	90000000	1138
chr3A_TA877	90000001	100000000	1196
chr3A_TA877	100000001	110000000	1042
chr3A_TA877	110000001	120000000	1111
chr3A_TA877	120000001	130000000	1131
chr3A_TA877	130000001	140000000	1041
chr3A_TA877	140000001	150000000	1020
chr3A_TA877	150000001	160000000	1042
chr3A_TA877	160000001	170000000	1164
chr3A_TA877	170000001	180000000	1201
chr3A_TA877	180000001	190000000	1071
chr3A_TA877	190000001	200000000	1101
chr3A_TA877	200000001	210000000	1060
chr3A_TA877	210000001	220000000	1095
chr3A_TA877	220000001	230000000	1155
chr3A_TA877	230000001	240000000	821
chr3A_TA877	240000001	250000000	792
chr3A_TA877	250000001	260000000	807
chr3A_TA877	260000001	270000000	848
chr3A_TA877	270000001	280000000	868
chr3A_TA877	280000001	290000000	715
chr3A_TA877	290000001	300000000	863
chr3A_TA877	300000001	310000000	955
chr3A_TA877	310000001	320000000	434
chr3A_TA877	320000001	330000000	823
chr3A_TA877	330000001	340000000	1090
chr3A_TA877	340000001	350000000	976
chr3A_TA877	350000001	360000000	1039
chr3A_TA877	360000001	370000000	1125
chr3A_TA877	370000001	380000000	1254
chr3A_TA877	380000001	390000000	1066
chr3A_TA877	390000001	400000000	1093
chr3A_TA877	400000001	410000000	995
chr3A_TA877	410000001	420000000	1169
chr3A_TA877	420000001	430000000	1347
chr3A_TA877	430000001	440000000	1221
chr3A_TA877	440000001	450000000	1168
chr3A_TA877	450000001	460000000	1271
chr3A_TA877	460000001	470000000	1287
chr3A_TA877	470000001	480000000	1374
chr3A_TA877	480000001	490000000	1342
chr3A_TA877	490000001	500000000	1238
chr3A_TA877	500000001	510000000	1261
chr3A_TA877	510000001	520000000	1125
chr3A_TA877	520000001	530000000	1178
chr3A_TA877	530000001	540000000	1079
chr3A_TA877	540000001	550000000	1085
chr3A_TA877	550000001	560000000	1278
chr3A_TA877	560000001	570000000	935
chr3A_TA877	570000001	580000000	1153
chr3A_TA877	580000001	590000000	1185
chr3A_TA877	590000001	600000000	1283
chr3A_TA877	600000001	610000000	1151
chr3A_TA877	610000001	620000000	1156
chr3A_TA877	620000001	630000000	1330
chr3A_TA877	630000001	640000000	1167
chr3A_TA877	640000001	650000000	1235
chr3A_TA877	650000001	660000000	1156
chr3A_TA877	660000001	670000000	1114
chr3A_TA877	670000001	675871483	612
chr4A_TA877	1	10000000	1056
chr4A_TA877	10000001	20000000	1241
chr4A_TA877	20000001	30000000	1309
chr4A_TA877	30000001	40000000	1315
chr4A_TA877	40000001	50000000	1139
chr4A_TA877	50000001	60000000	1122
chr4A_TA877	60000001	70000000	1126
chr4A_TA877	70000001	80000000	1083
chr4A_TA877	80000001	90000000	1138
chr4A_TA877	90000001	100000000	1128
chr4A_TA877	100000001	110000000	994
chr4A_TA877	110000001	120000000	1064
chr4A_TA877	120000001	130000000	1291
chr4A_TA877	130000001	140000000	1178
chr4A_TA877	140000001	150000000	1062
chr4A_TA877	150000001	160000000	953
chr4A_TA877	160000001	170000000	1042
chr4A_TA877	170000001	180000000	1146
chr4A_TA877	180000001	190000000	915
chr4A_TA877	190000001	200000000	882
chr4A_TA877	200000001	210000000	666
chr4A_TA877	210000001	220000000	817
chr4A_TA877	220000001	230000000	922
chr4A_TA877	230000001	240000000	944
chr4A_TA877	240000001	250000000	930
chr4A_TA877	250000001	260000000	594
chr4A_TA877	260000001	270000000	667
chr4A_TA877	270000001	280000000	819
chr4A_TA877	280000001	290000000	461
chr4A_TA877	290000001	300000000	611
chr4A_TA877	300000001	310000000	766
chr4A_TA877	310000001	320000000	838
chr4A_TA877	320000001	330000000	780
chr4A_TA877	330000001	340000000	941
chr4A_TA877	340000001	350000000	839
chr4A_TA877	350000001	360000000	922
chr4A_TA877	360000001	370000000	926
chr4A_TA877	370000001	380000000	915
chr4A_TA877	380000001	390000000	974
chr4A_TA877	390000001	400000000	894
chr4A_TA877	400000001	410000000	1074
chr4A_TA877	410000001	420000000	1106
chr4A_TA877	420000001	430000000	1043
chr4A_TA877	430000001	440000000	1148
chr4A_TA877	440000001	450000000	1110
chr4A_TA877	450000001	460000000	1311
chr4A_TA877	460000001	470000000	1125
chr4A_TA877	470000001	480000000	1126
chr4A_TA877	480000001	490000000	1203
chr4A_TA877	490000001	500000000	1071
chr4A_TA877	500000001	510000000	1326
chr4A_TA877	510000001	520000000	1209
chr4A_TA877	520000001	530000000	1269
chr4A_TA877	530000001	540000000	1092
chr4A_TA877	540000001	550000000	931
chr4A_TA877	550000001	560000000	1184
chr4A_TA877	560000001	570000000	1190
chr4A_TA877	570000001	580000000	1085
chr4A_TA877	580000001	590000000	1160
chr4A_TA877	590000001	600000000	1211
chr4A_TA877	600000001	610000000	1150
chr4A_TA877	610000001	620000000	1058
chr4A_TA877	620000001	630000000	1414
chr4A_TA877	630000001	640000000	1183
chr4A_TA877	640000001	650000000	1131
chr4A_TA877	650000001	660000000	1168
chr4A_TA877	660000001	670000000	1304
chr4A_TA877	670000001	680000000	1196
chr4A_TA877	680000001	690000000	1128
chr4A_TA877	690000001	700000000	1035
chr4A_TA877	700000001	710000000	1081
chr4A_TA877	710000001	720000000	1172
chr4A_TA877	720000001	730000000	1210
chr4A_TA877	730000001	740000000	1119
chr4A_TA877	740000001	750000000	1069
chr4A_TA877	750000001	760000000	1183
chr4A_TA877	760000001	770000000	1221
chr4A_TA877	770000001	773897100	545
chr5A_TA877	1	10000000	1481
chr5A_TA877	10000001	20000000	1624
chr5A_TA877	20000001	30000000	1388
chr5A_TA877	30000001	40000000	1119
chr5A_TA877	40000001	50000000	1522
chr5A_TA877	50000001	60000000	1422
chr5A_TA877	60000001	70000000	1307
chr5A_TA877	70000001	80000000	1348
chr5A_TA877	80000001	90000000	1391
chr5A_TA877	90000001	100000000	1368
chr5A_TA877	100000001	110000000	1260
chr5A_TA877	110000001	120000000	1203
chr5A_TA877	120000001	130000000	1534
chr5A_TA877	130000001	140000000	1365
chr5A_TA877	140000001	150000000	1166
chr5A_TA877	150000001	160000000	1198
chr5A_TA877	160000001	170000000	1040
chr5A_TA877	170000001	180000000	978
chr5A_TA877	180000001	190000000	1242
chr5A_TA877	190000001	200000000	936
chr5A_TA877	200000001	210000000	1335
chr5A_TA877	210000001	220000000	1364
chr5A_TA877	220000001	230000000	827
chr5A_TA877	230000001	240000000	305
chr5A_TA877	240000001	250000000	1075
chr5A_TA877	250000001	260000000	1171
chr5A_TA877	260000001	270000000	1284
chr5A_TA877	270000001	280000000	1389
chr5A_TA877	280000001	290000000	1412
chr5A_TA877	290000001	300000000	1499
chr5A_TA877	300000001	310000000	1735
chr5A_TA877	310000001	320000000	1699
chr5A_TA877	320000001	330000000	1401
chr5A_TA877	330000001	340000000	1311
chr5A_TA877	340000001	350000000	1330
chr5A_TA877	350000001	360000000	1421
chr5A_TA877	360000001	370000000	1349
chr5A_TA877	370000001	380000000	1468
chr5A_TA877	380000001	390000000	1536
chr5A_TA877	390000001	400000000	1358
chr5A_TA877	400000001	410000000	1315
chr5A_TA877	410000001	420000000	1380
chr5A_TA877	420000001	430000000	1464
chr5A_TA877	430000001	440000000	1279
chr5A_TA877	440000001	450000000	1431
chr5A_TA877	450000001	460000000	1401
chr5A_TA877	460000001	470000000	1548
chr5A_TA877	470000001	480000000	1316
chr5A_TA877	480000001	490000000	1517
chr5A_TA877	490000001	500000000	1174
chr5A_TA877	500000001	510000000	1267
chr5A_TA877	510000001	520000000	1490
chr5A_TA877	520000001	530000000	1242
chr5A_TA877	530000001	540000000	1336
chr5A_TA877	540000001	550000000	1237
chr5A_TA877	550000001	560000000	1515
chr5A_TA877	560000001	570000000	1369
chr5A_TA877	570000001	580000000	1513
chr5A_TA877	580000001	590000000	1549
chr5A_TA877	590000001	600000000	1578
chr5A_TA877	600000001	610000000	1626
chr5A_TA877	610000001	620000000	1510
chr5A_TA877	620000001	630000000	1460
chr5A_TA877	630000001	640000000	1592
chr5A_TA877	640000001	650000000	1514
chr5A_TA877	650000001	660000000	1587
chr5A_TA877	660000001	670000000	1510
chr5A_TA877	670000001	680000000	1359
chr5A_TA877	680000001	690000000	1500
chr5A_TA877	690000001	691724660	222
chr6A_TA877	1	10000000	1112
chr6A_TA877	10000001	20000000	1085
chr6A_TA877	20000001	30000000	1162
chr6A_TA877	30000001	40000000	1070
chr6A_TA877	40000001	50000000	1023
chr6A_TA877	50000001	60000000	1067
chr6A_TA877	60000001	70000000	1190
chr6A_TA877	70000001	80000000	1467
chr6A_TA877	80000001	90000000	1070
chr6A_TA877	90000001	100000000	1027
chr6A_TA877	100000001	110000000	1192
chr6A_TA877	110000001	120000000	1092
chr6A_TA877	120000001	130000000	973
chr6A_TA877	130000001	140000000	973
chr6A_TA877	140000001	150000000	944
chr6A_TA877	150000001	160000000	1090
chr6A_TA877	160000001	170000000	1089
chr6A_TA877	170000001	180000000	1088
chr6A_TA877	180000001	190000000	1035
chr6A_TA877	190000001	200000000	1145
chr6A_TA877	200000001	210000000	813
chr6A_TA877	210000001	220000000	801
chr6A_TA877	220000001	230000000	932
chr6A_TA877	230000001	240000000	698
chr6A_TA877	240000001	250000000	677
chr6A_TA877	250000001	260000000	487
chr6A_TA877	260000001	270000000	323
chr6A_TA877	270000001	280000000	746
chr6A_TA877	280000001	290000000	781
chr6A_TA877	290000001	300000000	770
chr6A_TA877	300000001	310000000	846
chr6A_TA877	310000001	320000000	780
chr6A_TA877	320000001	330000000	767
chr6A_TA877	330000001	340000000	734
chr6A_TA877	340000001	350000000	828
chr6A_TA877	350000001	360000000	909
chr6A_TA877	360000001	370000000	1172
chr6A_TA877	370000001	380000000	602
