Chr	Start	End	Cenh3
chr1A_TA2804	0	500000	9934
chr1A_TA2804	500000	1000000	8536
chr1A_TA2804	1000000	1500000	6698
chr1A_TA2804	1500000	2000000	2278
chr1A_TA2804	2000000	2500000	588
chr1A_TA2804	2500000	3000000	6250
chr1A_TA2804	3000000	3500000	9194
chr1A_TA2804	3500000	4000000	5398
chr1A_TA2804	4000000	4500000	7760
chr1A_TA2804	4500000	5000000	8850
chr1A_TA2804	5000000	5500000	7968
chr1A_TA2804	5500000	6000000	7362
chr1A_TA2804	6000000	6500000	8498
chr1A_TA2804	6500000	7000000	6610
chr1A_TA2804	7000000	7500000	1326
chr1A_TA2804	7500000	8000000	7362
chr1A_TA2804	8000000	8500000	7600
chr1A_TA2804	8500000	9000000	6250
chr1A_TA2804	9000000	9500000	6260
chr1A_TA2804	9500000	10000000	6608
chr1A_TA2804	10000000	10500000	5108
chr1A_TA2804	10500000	11000000	7868
chr1A_TA2804	11000000	11500000	6004
chr1A_TA2804	11500000	12000000	11008
chr1A_TA2804	12000000	12500000	5220
chr1A_TA2804	12500000	13000000	6940
chr1A_TA2804	13000000	13500000	6204
chr1A_TA2804	13500000	14000000	6932
chr1A_TA2804	14000000	14500000	4290
chr1A_TA2804	14500000	15000000	6440
chr1A_TA2804	15000000	15500000	7865
chr1A_TA2804	15500000	16000000	6797
chr1A_TA2804	16000000	16500000	7242
chr1A_TA2804	16500000	17000000	7576
chr1A_TA2804	17000000	17500000	6882
chr1A_TA2804	17500000	18000000	5684
chr1A_TA2804	18000000	18500000	4438
chr1A_TA2804	18500000	19000000	6800
chr1A_TA2804	19000000	19500000	6669
chr1A_TA2804	19500000	20000000	6541
chr1A_TA2804	20000000	20500000	3532
chr1A_TA2804	20500000	21000000	5909
chr1A_TA2804	21000000	21500000	6437
chr1A_TA2804	21500000	22000000	7044
chr1A_TA2804	22000000	22500000	7456
chr1A_TA2804	22500000	23000000	6644
chr1A_TA2804	23000000	23500000	7450
chr1A_TA2804	23500000	24000000	8286
chr1A_TA2804	24000000	24500000	5068
chr1A_TA2804	24500000	25000000	7860
chr1A_TA2804	25000000	25500000	9184
chr1A_TA2804	25500000	26000000	6624
chr1A_TA2804	26000000	26500000	7998
chr1A_TA2804	26500000	27000000	7836
chr1A_TA2804	27000000	27500000	7284
chr1A_TA2804	27500000	28000000	7392
chr1A_TA2804	28000000	28500000	7226
chr1A_TA2804	28500000	29000000	7780
chr1A_TA2804	29000000	29500000	4536
chr1A_TA2804	29500000	30000000	6460
chr1A_TA2804	30000000	30500000	6944
chr1A_TA2804	30500000	31000000	7444
chr1A_TA2804	31000000	31500000	7108
chr1A_TA2804	31500000	32000000	8202
chr1A_TA2804	32000000	32500000	7586
chr1A_TA2804	32500000	33000000	7820
chr1A_TA2804	33000000	33500000	9346
chr1A_TA2804	33500000	34000000	8422
chr1A_TA2804	34000000	34500000	8042
chr1A_TA2804	34500000	35000000	8234
chr1A_TA2804	35000000	35500000	8962
chr1A_TA2804	35500000	36000000	7868
chr1A_TA2804	36000000	36500000	7782
chr1A_TA2804	36500000	37000000	7578
chr1A_TA2804	37000000	37500000	8802
chr1A_TA2804	37500000	38000000	7972
chr1A_TA2804	38000000	38500000	7902
chr1A_TA2804	38500000	39000000	9114
chr1A_TA2804	39000000	39500000	9359
chr1A_TA2804	39500000	40000000	9571
chr1A_TA2804	40000000	40500000	9052
chr1A_TA2804	40500000	41000000	7852
chr1A_TA2804	41000000	41500000	8756
chr1A_TA2804	41500000	42000000	7562
chr1A_TA2804	42000000	42500000	9102
chr1A_TA2804	42500000	43000000	9017
chr1A_TA2804	43000000	43500000	8415
chr1A_TA2804	43500000	44000000	7704
chr1A_TA2804	44000000	44500000	8916
chr1A_TA2804	44500000	45000000	7922
chr1A_TA2804	45000000	45500000	8984
chr1A_TA2804	45500000	46000000	9592
chr1A_TA2804	46000000	46500000	9703
chr1A_TA2804	46500000	47000000	9139
chr1A_TA2804	47000000	47500000	8684
chr1A_TA2804	47500000	48000000	7794
chr1A_TA2804	48000000	48500000	9094
chr1A_TA2804	48500000	49000000	8844
chr1A_TA2804	49000000	49500000	8598
chr1A_TA2804	49500000	50000000	7784
chr1A_TA2804	50000000	50500000	8414
chr1A_TA2804	50500000	51000000	8042
chr1A_TA2804	51000000	51500000	9084
chr1A_TA2804	51500000	52000000	8902
chr1A_TA2804	52000000	52500000	9010
chr1A_TA2804	52500000	53000000	9114
chr1A_TA2804	53000000	53500000	8576
chr1A_TA2804	53500000	54000000	9942
chr1A_TA2804	54000000	54500000	8442
chr1A_TA2804	54500000	55000000	5914
chr1A_TA2804	55000000	55500000	6266
chr1A_TA2804	55500000	56000000	8430
chr1A_TA2804	56000000	56500000	8822
chr1A_TA2804	56500000	57000000	8900
chr1A_TA2804	57000000	57500000	8070
chr1A_TA2804	57500000	58000000	9328
chr1A_TA2804	58000000	58500000	8280
chr1A_TA2804	58500000	59000000	9148
chr1A_TA2804	59000000	59500000	10234
chr1A_TA2804	59500000	60000000	9098
chr1A_TA2804	60000000	60500000	8254
chr1A_TA2804	60500000	61000000	9164
chr1A_TA2804	61000000	61500000	8126
